work,total,74,75,76,77,78,79,80,81,82,83,84,85,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243
公卿補任,1144,0,0,5,3,5,1,5,2,0,2,2,1,0,1,3,0,0,1,0,0,6,0,3,11,4,20,21,8,3,3,11,15,16,11,13,8,22,8,21,20,0,14,11,27,17,13,6,65,37,13,43,31,0,25,30,0,0,8,37,25,17,18,26,3,15,12,0,29,15,9,9,44,5,0,10,12,18,4,10,36,0,0,0,0,0,0,0,0,0,1,27,4,7,16,17,0,11,14,10,0,0,5,2,0,0,0,0,0,0,0,17,13,11,1,0,1,5,17,0,0,1,4,0,1,0,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0
尊卑分脈,1030,0,0,2,2,3,13,5,22,14,14,25,27,0,0,9,0,1,4,0,0,0,0,1,0,0,4,24,1,0,3,0,0,14,1,0,1,12,5,1,1,0,3,1,5,1,2,0,35,19,27,25,14,31,7,28,49,5,2,29,7,13,5,20,4,1,1,4,2,0,6,7,37,17,0,19,8,13,7,7,29,10,1,0,3,2,10,9,0,4,18,19,1,5,3,3,0,6,4,9,9,47,5,2,0,13,8,24,0,1,1,1,3,0,6,0,0,21,25,1,2,3,18,4,0,5,18,7,0,0,0,0,0,0,0,0,0,0,0,0,1
東鑑,803,0,0,0,0,0,0,0,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,5,0,0,12,12,6,0,0,0,1,4,0,6,29,25,13,13,0,4,12,22,7,44,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,18,48,56,60,18,0,0,0,55,53,0,0,36,46,28,40,29,13,5,0,0,1,0,0,0,0,1,8,12,10,4,0,0,4,11,12,0,0,0,4,0,0,0,0,0,0,1,0,0
源平盛衰記,737,0,0,1,0,0,0,0,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,5,0,0,4,0,4,11,3,41,2,1,5,0,2,1,50,95,43,42,59,0,8,6,56,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,11,0,0,0,0,0,0,58,14,0,0,20,8,11,24,0,11,5,0,0,2,0,0,0,2,0,0,10,4,1,2,0,0,3,53,0,0,0,0,0,0,0,0,0,0,2,0,0
一代要記,723,0,1,16,53,47,89,48,57,63,29,10,0,0,43,128,29,27,11,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,1,0,1,0,0,3,0,1,2,1,0,7,9,0,6,0,0,0,4,3,0,0,1,0,0,0,0,1,0,1,0,0,0,2,0,4,1,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,1,0,0,0,0,0,0,0,1,1
日本紀略,614,0,0,0,32,26,102,46,0,0,0,0,0,0,30,101,0,0,0,0,0,0,0,0,0,0,6,3,0,9,0,1,6,16,3,8,2,6,3,7,3,0,0,0,16,4,6,1,35,19,20,11,6,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,9,1,0,0,4,0,0,0,1,0,2,0,19,0,0,0,0,2,6,0,0,0,3,3,0,6,3,0
太平記,573,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,27,24,27,26,27,25,43,18,21,10,21,17,10,32,51,16,0,2,0,0,1,64,21,3,0,1,33,9,0,0,0,2,1,0,0,0,0,0,1,0,0,0,2,1,3,2,0,0,0,0,0,6,0,1,0,4,0,0,0,0,0,0,0,0,0
皇胤紹運錄,543,0,0,16,47,31,22,3,28,48,48,47,40,2,46,79,9,17,51,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
日本紀,542,41,76,3,0,0,0,1,0,0,0,0,0,94,0,1,0,0,0,16,18,14,17,6,16,66,13,4,4,1,0,1,0,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,3,0,2,2,0,0,0,6,38,0,19,24,19,8,1,0,6,2,10,2
