doc,一代要記,大鏡,百鍊抄,三代實錄,歷代皇紀,續日本紀,日本紀略,本書,扶桑略記,今鏡,增鏡,女院小傳,東鑑,尊卑分脈,公卿補任,源平盛衰記,太平記,文德實錄,日本紀,平家物語,玉海,皇胤紹運錄,帝王編年記,愚管抄,榮華物語
157,2,,,,,,,,,,,,,6,9,,,,,,4,,,5,
112,,,,,,41,,8,,,,,,,4,,,,66,,,,,,
82,63,,23,,39,,,,,5,14,70,1,14,,11,,,,13,14,48,29,7,
197,,,,,,,,,,,,,5,1,,5,,,,2,,,,,
237,,,,,,,,9,,,,,,,,,,,8,,,,,,
173,,,,,,,,4,,,,,,10,,,21,,,,,,,,
136,9,26,,,,,19,,4,,,,,19,37,,,,,,,,,,11
171,,,,,,,,1,,,,,,3,,,21,,,,,,,,
134,,,,,,,1,1,1,,,,,,6,,,,,,,,,,
235,,,,,,,,8,,,,,,,,,,,24,,,,,,
109,,,,2,,1,,9,,,,,,,,,,,17,,,,,,
168,,,,,,,,1,,,1,,1,10,,,25,,,,,,,,
195,,,2,,,,,1,,,1,,29,,,,1,,,,,,,4,
80,48,7,3,,8,,46,1,33,31,,6,,5,5,,,,1,,,3,7,1,72
155,,,8,,,,,,,,,,13,2,29,42,,,,27,6,,,8,
110,,,,,,,,,,,,,,1,3,,,,6,,,,,,
191,,,,,,,,2,,,,,36,,,20,,,,3,,,,2,
228,2,1,9,,1,,19,4,32,,,,4,5,,,,,,1,,,1,,
84,10,,,,35,,,1,,,28,60,,25,2,,1,,,,,47,3,,
79,89,38,,,8,,102,1,18,4,,4,,13,1,,,,,,,22,3,1,84
129,3,1,,13,,,,,,,,,,3,14,1,,3,,,,,,,
151,1,,,,,,,,,,,,,4,3,1,,,,1,2,,,,
114,2,1,,1,,24,3,4,,,,,,24,21,2,,,4,,,,,,
215,,,,16,,,7,,2,,,,,3,13,,,3,1,,,,,,
231,,,,,,,,1,,,,,,,2,,,,6,,,,,,
188,,,,,,,,4,,,,,53,47,,14,1,,,5,2,,1,,
175,,,,,,,,1,,,,,,,,,10,,,,,,,,
